source_url,target_url,status_code,preserve_query_string,subpath_matching
hellomycab.com/ajmer-to-kota-one-way-taxi,https://www.hellomycabs.com/ajmer-to-kota-cab,301,false,false
hellomycab.com/ajmer-to-jhalwer-one-way-taxi/,https://www.hellomycabs.com/cab-service-in-ajmer,301,false,false
hellomycab.com/ajmer-to-jhalwer-one-way-taxi,https://www.hellomycabs.com/cab-service-in-ajmer,301,false,false
hellomycab.com/ajmer-to-malpura/,https://www.hellomycabs.com/cab-service-in-ajmer,301,false,false
hellomycab.com/ajmer-to-malpura,https://www.hellomycabs.com/cab-service-in-ajmer,301,false,false
hellomycab.com/ajmer-to-dewali/,https://www.hellomycabs.com/cab-service-in-ajmer,301,false,false
hellomycab.com/ajmer-to-dewali,https://www.hellomycabs.com/cab-service-in-ajmer,301,false,false
hellomycab.com/ajmer-to-manoharpur/,https://www.hellomycabs.com/cab-service-in-ajmer,301,false,false
hellomycab.com/ajmer-to-manoharpur,https://www.hellomycabs.com/cab-service-in-ajmer,301,false,false
hellomycab.com/ajmer-to-kotputli/,https://www.hellomycabs.com/cab-service-in-ajmer,301,false,false
hellomycab.com/ajmer-to-kotputli,https://www.hellomycabs.com/cab-service-in-ajmer,301,false,false
hellomycab.com/ajmer-to-alwar-taxi/,https://www.hellomycabs.com/cab-service-in-ajmer,301,false,false
hellomycab.com/ajmer-to-alwar-taxi,https://www.hellomycabs.com/cab-service-in-ajmer,301,false,false
hellomycab.com/ajmer-to-bharatpur-taxi/,https://www.hellomycabs.com/cab-service-in-ajmer,301,false,false
hellomycab.com/ajmer-to-bharatpur-taxi,https://www.hellomycabs.com/cab-service-in-ajmer,301,false,false
hellomycab.com/ajmer-to-dholpur/,https://www.hellomycabs.com/cab-service-in-ajmer,301,false,false
hellomycab.com/ajmer-to-dholpur,https://www.hellomycabs.com/cab-service-in-ajmer,301,false,false
hellomycab.com/ajmer-to-dausa/,https://www.hellomycabs.com/cab-service-in-ajmer,301,false,false
hellomycab.com/ajmer-to-dausa,https://www.hellomycabs.com/cab-service-in-ajmer,301,false,false
hellomycab.com/ajmer-to-behror-taxi/,https://www.hellomycabs.com/cab-service-in-ajmer,301,false,false
hellomycab.com/ajmer-to-behror-taxi,https://www.hellomycabs.com/cab-service-in-ajmer,301,false,false
hellomycab.com/ajmer-to-sikar-taxi-service/,https://www.hellomycabs.com/ajmer-to-sikar-cab,301,false,false
